Date,ind10,bse,int_bond,int_stock
"Jan 02, 2007",7.536,13942.24,56.795147,2423.159912
"Jan 03, 2007",7.54,14014.92,57.139477,2453.429932
"Jan 04, 2007",7.584,13871.71,56.89082,2434.25
"Jan 05, 2007",7.555,13860.52,56.992863,2438.199951
"Jan 08, 2007",7.49,13652.15,56.992863,2443.830078
"Jan 09, 2007",7.51,13566.33,56.737785,2459.330078
"Jan 10, 2007",7.537,13362.16,56.406101,2484.850098
"Jan 11, 2007",7.537,13630.71,56.144718,2502.820068
"Jan 12, 2007",7.927,14056.53,56.265854,2497.780029
"Jan 15, 2007",7.792,14129.64,56.093643,2479.419922
"Jan 16, 2007",7.766,14114.73,56.265854,2443.209961
"Jan 17, 2007",7.81,14131.34,56.112804,2451.310059
"Jan 18, 2007",7.81,14217.75,56.246746,2431.070068
"Jan 19, 2007",7.807,14182.71,55.876835,2431.409912
"Jan 22, 2007",7.908,14209.24,55.870472,2466.280029
"Jan 23, 2007",7.873,14041.24,55.468719,2434.23999
"Jan 24, 2007",7.896,14110.46,55.424103,2435.48999
"Jan 25, 2007",7.883,14282.72,55.302868,2441.090088
"Jan 29, 2007",7.9,14211.96,55.366688,2448.639893
"Jan 31, 2007",7.738,14090.92,55.83223,2463.929932
"Feb 02, 2007",7.699,14267.18,55.764973,2468.379883
"Feb 05, 2007",7.716,14403.77,55.835407,2475.879883
"Feb 06, 2007",7.752,14515.9,55.912266,2470.600098
"Feb 07, 2007",7.749,14478.19,56.219578,2471.48999
"Feb 08, 2007",7.791,14643.13,56.386097,2490.5
"Feb 09, 2007",7.808,14652.09,56.430885,2488.669922
"Feb 12, 2007",7.826,14538.9,56.110725,2459.820068
"Feb 13, 2007",7.921,14190.7,55.982719,2450.379883
"Feb 14, 2007",8.083,14090.98,55.861027,2459.879883
"Feb 15, 2007",8.073,14009.9,56.392517,2488.379883
"Feb 19, 2007",8.016,14355.55,56.558952,2497.100098
"Feb 20, 2007",8.003,14402.9,56.757462,2496.310059
"Feb 21, 2007",7.925,14253.38,56.885517,2513.040039
"Feb 22, 2007",7.957,14188.49,56.78949,2518.419922
"Feb 23, 2007",7.935,14021.31,56.482113,2524.939941
"Feb 26, 2007",7.892,13632.53,56.885517,2515.100098
"Feb 27, 2007",7.898,13649.52,57.263321,2504.52002
"Feb 28, 2007",8,13478.83,57.986877,2407.860107
"Mar 01, 2007",7.935,12938.09,57.724312,2416.149902
"Mar 02, 2007",7.949,13159.55,57.68771,2404.209961
"Mar 05, 2007",7.979,12886.13,57.976902,2368
"Mar 06, 2007",7.956,12415.04,58.073338,2340.679932
"Mar 07, 2007",7.953,12697.09,57.899811,2385.139893
"Mar 08, 2007",8.004,12579.75,58.124786,2374.639893
"Mar 09, 2007",8.001,13049.35,58.073338,2387.72998
"Mar 12, 2007",7.949,12884.99,57.462746,2387.550049
"Mar 13, 2007",7.971,12902.63,57.68771,2402.290039
"Mar 14, 2007",7.969,12982.98,58.034782,2350.570068
"Mar 15, 2007",7.993,12529.62,57.771271,2371.73999
"Mar 16, 2007",8.023,12543.85,57.764774,2378.699951
"Mar 20, 2007",8.067,12430.4,57.751907,2372.659912
"Mar 21, 2007",8.052,12644.99,57.629856,2394.409912
"Mar 22, 2007",7.948,12705.94,57.661995,2408.209961
"Mar 23, 2007",7.951,12945.88,57.68771,2455.919922
"Mar 26, 2007",7.996,13308.03,57.231335,2451.73999
"Mar 28, 2007",7.982,13285.93,57.070679,2448.929932
"Mar 29, 2007",7.97,13124.32,57.141338,2455.629883
"Mar 30, 2007",8.022,12884.34,57.044933,2437.429932
"Apr 03, 2007",8.183,12979.66,56.929249,2417.100098
"Apr 04, 2007",8.16,13072.1,56.852112,2417.879883
"Apr 05, 2007",8.183,12455.37,56.742828,2421.639893
